报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
一年内到期的非流动负债(万元),4111053.0,4616384.0,3692575.0,3672015.0,3248353.0,2677330.0,2410311.0,2644137.0,2368957.0,2474640.0,2340892.0,2329789.0,2261034.0,2044929.0,1383496.0,1569922.0,2353093.0,2752179.0,2638052.0,3286577.0,3095849.0,2562496.0,1412271.0,1550573.0,1575940.0,2184583.0,2282315.0,2143189.0,1856984.0,1530569.0,1383111.0,1239302.0,1230525.0,744041.0,640768.0,998551.0,1212616.0,1326437.0,1253627.0,961215.0,867200.0,748868.0,586715.0,307715.0,195497.0,109009.0,98331.25,87653.5,76975.75,66298.0,66298.0,66298.0,66298.0
其他流动负债(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
流动负债合计(万元),88095367.0,84735543.0,74344107.0,67612358.0,62763400.0,57999849.0,55315828.0,50986747.0,45689864.0,42006183.0,40208447.0,37896759.0,36930781.0,34565403.0,35612659.0,33616091.0,34135190.0,32892183.0,33016270.0,31410130.0,29923712.0,25983357.0,23355500.0,21710112.0,20334813.0,20072416.0,19465416.0,17259441.0,15180744.0,12965079.0,10869104.0,8588469.0,7773484.0,6805828.0,6286523.0,6263861.0,6626383.0,6455372.0,6796103.0,6062218.0,5305988.0,4877398.0,4515039.0,2950222.0,1983515.0,2201627.0,1923396.75,1645166.5,1366936.25,1088706.0,1088706.0,1088706.0,1088706.0
长期借款(万元),11255848.0,9602904.0,7714669.0,6573612.0,7023966.0,5640606.0,3168013.0,3678719.0,3913599.0,3382858.0,2996751.0,2779440.0,2817813.0,3453671.0,4685690.0,4921060.0,4377208.0,3668313.0,3100336.0,2445025.0,2828945.0,3603607.0,3583064.0,3673980.0,3126002.0,2097196.0,2232280.0,2393777.0,2079673.0,2479050.0,2331764.0,1962535.0,1663516.0,1750280.0,1765640.0,1343964.0,1216897.0,917412.0,992391.0,1369873.0,1648598.0,1636208.0,1777054.0,1587031.0,1230961.0,945288.0,738498.0,531708.0,324918.0,118128.0,118128.0,118128.0,118128.0
应付债券(万元),3165235.0,3232267.0,2705835.0,2328292.0,2343808.0,2910838.0,2540378.0,2538295.0,2197358.0,1901581.0,1687209.0,1161424.0,1162641.0,1161223.0,988844.0,990082.0,746903.0,739839.0,480900.0,483178.0,494591.0,0.0,587362.0,586575.0,585801.0,585040.0,584290.0,583553.0,582590.0,582114.0,581412.0,580722.0,580042.0,579374.0,578716.0,578069.0,577432.0,576802.0,576175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21087.75,42175.5,63263.25,84351.0,84351.0,84351.0,84351.0
长期应付款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254998.0,0.0,0.0,5700.0,14989.25,24278.5,33567.75,42857.0,42857.0,42857.0,42857.0
专项应付款(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.0,818.0,336.0,1739.0,1304.25,869.5,434.75,0.0,0.0,0.0,0.0
预计非流动负债(万元),15056.0,15987.0,16885.0,14139.0,11217.0,11867.0,14899.0,10963.0,14196.0,14322.0,10029.0,8929.0,6036.0,5342.0,7105.0,7330.0,6301.0,4688.0,6128.0,5855.0,5108.0,4429.0,6244.0,5790.0,5474.0,3868.0,4061.0,4544.0,5750.0,4111.0,4357.0,3361.0,3761.0,3436.0,3243.0,3039.0,3394.0,4173.0,4502.0,4038.0,3958.0,3796.0,6226.0,3339.0,3300.0,3168.0,2975.5,2783.0,2590.5,2398.0,2398.0,2398.0,2398.0
长期递延收益(万元),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延所得税负债(万元),103192.0,26530.0,41786.0,42800.0,52649.0,50405.0,54200.0,54910.0,55496.0,55843.0,55300.0,58896.0,58599.0,59030.0,79273.0,66027.0,66383.0,67272.0,69690.0,70078.0,71984.0,73381.0,79668.0,78797.0,78210.0,77891.0,74675.0,72909.0,73273.0,73899.0,72364.0,73326.0,78653.0,80246.0,78536.0,80593.0,84526.0,86780.0,90298.0,90222.0,97966.0,99100.0,2543.0,1886.0,4625.0,89112.0,82246.5,75381.0,68515.5,61650.0,61650.0,61650.0,61650.0
